Method,Recall,Recall_Percent
lsh,0.20000000000000004,20.000000000000004
hypercube,0.05000000000000001,5.000000000000001
ivfflat,0.20000000000000004,20.000000000000004
ivfpq,0.15,15.0
nlsh,0.06666666666666667,6.666666666666667
