N,seed,kproj,w,M,probes,recall,qps,time_per_query
10,42,12,300,10000,100,0.18571428571428572,5.826711,0.17162340812853083
10,42,12,300,10000,250,0.18571428571428572,1.976327,0.5059891404610675
10,42,12,300,10000,500,0.18571428571428572,2.825072,0.3539732792650948
10,42,12,500,2000,100,0.09166666666666667,27.277873,0.036659749827268426
10,42,12,500,2000,250,0.09166666666666667,3.894684,0.2567602403686666
10,42,12,500,2000,500,0.09166666666666667,44.988978,0.02222766651867486
10,42,12,500,5000,100,0.1369047619047619,2.67522,0.37380103318605573
10,42,12,500,5000,250,0.1369047619047619,8.196514,0.12200308570204357
10,42,12,500,5000,500,0.1369047619047619,7.59586,0.1316506623344822
10,42,12,500,10000,100,0.18571428571428572,2.29013,0.43665643435088836
10,42,12,500,10000,250,0.18571428571428572,2.000383,0.49990426833261437
10,42,12,500,10000,500,0.18571428571428572,3.053612,0.3274810290239886
10,42,12,1000,2000,100,0.09166666666666667,29.518698,0.03387683291451405
10,42,12,1000,2000,250,0.09166666666666667,3.502011,0.28555021671833697
10,42,12,1000,2000,500,0.09166666666666667,8.052735,0.1241814116570333
10,42,12,1000,5000,100,0.1369047619047619,3.170601,0.3153976170448442
10,42,12,1000,5000,250,0.1369047619047619,13.361511,0.0748418348793037
10,42,12,1000,5000,500,0.1369047619047619,2.600231,0.38458121605349677
10,42,12,1000,10000,100,0.18571428571428572,1.341879,0.7452236751599809
10,42,12,1000,10000,250,0.18571428571428572,1.718115,0.5820332166356734
10,42,12,1000,10000,500,0.18571428571428572,3.450227,0.28983600209493465
10,42,14,20,2000,100,0.09166666666666667,46.702602,0.021412083206841452
10,42,14,20,2000,250,0.09166666666666667,8.060724,0.12405833520661419
10,42,14,20,2000,500,0.09166666666666667,16.438266,0.060833667005996864
10,42,14,20,5000,100,0.1369047619047619,5.772233,0.17324317989242638
10,42,14,20,5000,250,0.1369047619047619,6.278357,0.1592773395969678
10,42,14,20,5000,500,0.1369047619047619,28.20132,0.03545933310923035
10,42,14,20,10000,100,0.18571428571428572,2.203878,0.45374562475781327
10,42,14,20,10000,250,0.18571428571428572,5.183628,0.19291507801099925
10,42,14,20,10000,500,0.18571428571428572,3.081647,0.32450180049824007
10,42,14,40,2000,100,0.09166666666666667,6.907652,0.14476699173612104
10,42,14,40,2000,250,0.09166666666666667,13.448211,0.07435933299975736
10,42,14,40,2000,500,0.09166666666666667,52.675244,0.018984249982781285
10,42,14,40,5000,100,0.1369047619047619,2.56533,0.3898133963271782
10,42,14,40,5000,250,0.1369047619047619,3.533117,0.2830361972162258
10,42,14,40,5000,500,0.1369047619047619,5.008634,0.19965523533961557
10,42,14,40,10000,100,0.18571428571428572,2.473603,0.4042685912007707
10,42,14,40,10000,250,0.18571428571428572,2.651357,0.37716535343976687
